TSA,Risk,0-4,5-17,18-49,50-64,65+
A,High,2321.771866,9411.712771,34081.2128,25045.45071,29555.83988
A,Low,28515.22813,72079.28723,146653.7872,49363.54929,32281.16012
B,High,2571.76997,11605.42253,41204.70212,27038.82053,31631.97719
B,Low,31929.23003,82902.17747,181251.6979,52544.17947,34086.02281
C,High,992.3587938,4320.288259,16437.05583,14262.4018,18283.85091
C,Low,12292.64121,32832.51174,73548.14417,27153.5982,19191.14909
D,High,1447.527471,6195.750399,23010.77407,18635.98177,25742.11491
D,Low,17766.47253,45163.2496,100818.2259,35470.01823,27141.88509
E,High,40038.15925,167214.5936,656988.0754,464073.8209,431244.1982
E,Low,503241.8407,1308886.006,2880383.325,936950.1791,481427.8018
F,High,1292.648121,5355.595641,19761.52107,17593.24566,23978.8183
F,Low,16714.35188,42108.80436,86195.07893,34795.75434,26081.1817
G,High,4728.54953,21042.90298,74740.07966,65639.12591,87707.11683
G,Low,55562.45047,143026.897,301443.1203,119958.8741,88779.88317
I,High,4244.710834,18144.27131,72041.70304,46426.10763,50661.15142
I,Low,59233.28917,147560.7287,307036.297,88767.89237,53640.84858
J,High,2862.513535,10628.54912,40424.5829,25243.08741,25385.39143
J,Low,36702.48647,82302.45088,173317.4171,50226.91259,28051.60857
H,High,1185.112891,5209.565946,19773.68125,17968.69181,23883.97599
H,Low,15323.88711,40960.63405,86248.11875,35538.30819,25978.02401
K,High,782.8644189,3370.675916,12607.24629,10071.20691,14038.61574
K,Low,10152.13558,26508.52408,57789.55371,20442.79309,15799.38426
L,High,3000.460398,11015.23685,44693.36211,26536.54655,29016.11854
L,Low,35618.5396,79712.36315,180920.0379,49683.45345,30018.88146
M,High,1890.248129,8347.02772,29192.04632,22688.01338,29112.12783
M,Low,21549.75187,54312.17228,117237.7537,38796.98662,27379.87217
N,High,1594.671894,7072.322096,28838.69249,18174.82466,22091.00971
N,Low,20163.32811,52754.6779,145220.3075,36901.17534,24779.99029
O,High,9803.705396,39377.35163,182298.0554,116818.3651,117961.5753
O,Low,134771.2946,343977.8484,932969.7446,269137.6349,150637.4247
P,High,13523.78128,59393.59064,240516.1326,165722.784,187223.0569
P,Low,182041.2187,458110.0094,1007758.267,315172.216,197609.9431
Q,High,33157.45206,132810.3284,540686.9039,365429.9103,334996.4371
Q,Low,431782.5479,1070609.672,2340436.096,719236.0897,363239.5629
R,High,6175.641413,25687.63335,101953.0199,81412.53341,85395.21857
R,Low,80420.35859,207072.9666,441317.3801,160235.4666,92594.78143
S,High,839.2485804,3531.29637,12759.72011,11125.02705,15242.30877
S,Low,10851.75142,27765.10363,55654.87989,22002.97295,16578.69123
T,High,1950.9583,8264.49438,27582.87161,15579.85051,15175.36925
T,Low,25638.0417,60845.90562,101081.7284,25551.14949,13677.63075
U,High,2804.228912,12178.57563,49052.69735,36654.46174,44805.10721
U,Low,37281.77109,93953.82437,204418.9027,68608.53826,46444.89279
V,High,7749.047121,33043.32696,111265.3973,64527.7987,78841.26456
V,Low,111615.9529,281905.473,475337.8027,126674.2013,84926.73544
